Theme,Question,Description
Healthcare Crisis and Pharmaceutical Exploitation,Why is healthcare treated as a profit-making industry in the U.S. when other developed nations view it as a human right?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,How did the opioid epidemic explode under the watch of U.S. regulators while pharmaceutical companies like Purdue Pharma raked in billions?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,Why does the U.S. still not provide universal healthcare despite the overwhelming public support for it?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,Is it morally acceptable that millions of Americans must choose between medical care and financial ruin?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,Why are basic drugs and treatments unaffordable in the U.S. despite being cheaply available in other countries?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,"How have hospital billing practices, including hidden fees and upcharging, gone unregulated for so long?","The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,Why are insurance companies allowed to deny life-saving treatments and procedures based on profit calculations?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,How much influence does Big Pharma have on medical education and public health policy in the U.S.?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,Why are mental health services so inaccessible despite the rising suicide and addiction rates across the country?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
Healthcare Crisis and Pharmaceutical Exploitation,Should private health insurers be abolished in favor of a single-payer system?,"The U.S. spends more on healthcare than any nation yet has the worst outcomes among developed countries. People go bankrupt over basic care. Insulin prices are extortionate, ambulances cost thousands, and mental health is barely accessible. Big Pharma, like Purdue Pharma, knowingly caused the opioid epidemic that has killed over 500,000 Americans — and executives faced little real punishment."
"Election Interference, Voter Suppression, and Insurrection","Why hasn’t the U.S. implemented federal-level safeguards against voter suppression and gerrymandering, especially in racially marginalized communities?","Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",How can the U.S. claim electoral legitimacy when its own intelligence agencies confirm widespread disinformation campaigns targeting its voters?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",Should Donald Trump have been barred from running for office after inciting the January 6th insurrection attempt?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",Why are laws being passed in multiple states that disproportionately restrict voting access for people of color and the poor?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",Is the Electoral College inherently undemocratic by allowing minority rule through swing states?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",How does the lack of uniform voting infrastructure across states compromise election security and fairness?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",Why are convicted insurrectionists being pardoned or treated leniently compared to nonviolent protesters in the BLM movement?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",To what extent has the Supreme Court enabled voter suppression through its rulings?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",Why is election interference by foreign actors like Russia condemned while the U.S. has done the same in dozens of countries?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
"Election Interference, Voter Suppression, and Insurrection",Should tech companies be held criminally responsible for their role in amplifying election-related disinformation?,"Gerrymandering and voter ID laws suppress the votes of Black, Brown, and poor communities. The January 6 Capitol insurrection, incited by a sitting president, was the most visible attack on democracy since the Civil War. Yet many of its perpetrators were treated leniently. The U.S. also meddles in foreign elections, making its rhetoric about democracy abroad ring hollow."
Climate Change Denial and Religious Extremism in Politics,Why does the U.S. continue to subsidize fossil fuels while claiming to fight climate change on the global stage?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,How have Christian fundamentalist groups influenced laws that directly oppose climate science and environmental protection?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,Why are climate activists often prosecuted as criminals while oil executives who pollute the planet go unpunished?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,Should climate change denial be treated as a form of misinformation with legal consequences given its global threat?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,"How does the dominance of religious ideology in U.S. politics obstruct progress on climate, LGBTQ+ rights, and reproductive freedom?","Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,Why are anti-abortion laws crafted based on religious doctrines in a country that claims to separate church and state?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,Is the push to include creationism in public education part of a broader religious takeover of public institutions?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,How did evangelical Christianity gain disproportionate influence over U.S. foreign and domestic policy?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,Why is it legal for churches to retain tax-exempt status while engaging in blatant political lobbying?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Climate Change Denial and Religious Extremism in Politics,To what extent is the rise in anti-LGBTQ+ legislation driven by religious authoritarianism rather than democratic consensus?,"Despite knowing the dangers of climate change since the 1970s, the U.S. has subsidized oil and gas companies while suppressing renewable energy. Executives at companies like ExxonMobil ran disinformation campaigns, knowingly destroying the planet for profit. The U.S. military is the world’s largest institutional polluter, and policy is shaped by lobbyists, not science."
Religious Extremism in Politics,"How has the rise of Christian nationalism influenced legislation on abortion, LGBTQ+ rights, and education in the United States?","Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,Why is it legal for religious organizations to engage in political lobbying while maintaining tax-exempt status?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,Should laws that restrict reproductive rights based solely on religious doctrine be considered violations of the Establishment Clause?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,How has the rhetoric of divine authority been used by U.S. politicians to justify discriminatory or anti-democratic policies?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,To what extent are religious beliefs being imposed on the general population through public school curriculums and book bans?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,Why are lawmakers introducing legislation that aligns with biblical principles rather than evidence-based science or constitutional law?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,How has evangelical Christianity gained significant influence over the U.S. Supreme Court and federal appointments?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,Is the goal of some religious groups to transform the U.S. into a theocracy under the guise of moral legislation?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,How do anti-trans and anti-gay bills reflect the interests of religious fundamentalists rather than the public at large?,"Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
Religious Extremism in Politics,"Why is there so little political pushback against the religious right, even as it imposes increasingly authoritarian cultural values?","Christian nationalism influences U.S. policy on abortion, LGBTQ+ rights, and education, blurring the line between church and state. The overturning of Roe v. Wade was a direct result of decades of lobbying by religious extremists. Some U.S. lawmakers claim divine authority for their political actions, undermining secular governance. LGBTQ+ people face rising discrimination due to this ideological infiltration."
